Video Name,Split001,Split002,Split003,Split004,Split005,Split006,Split007,Split008,Split009,Split010,Split011,Split012,Split013,Split014,Split015,Split016,Split017,Split018,Split019,Split020,Split021,Split022,Split023,Split024,Split025,Split026,Split027,Split028,Split029,Split030,Split031,Split032,Split033,Split034,Split035,Split036,Split037,Split038,Split039,Split040,Split041,Split042,Split043,Split044,Split045,Split046,Split047,Split048,Split049,Split050,Split051,Split052,Split053,Split054,Split055,Split056,Split057,Split058,Split059,Split060,Split061,Split062,Split063,Split064,Split065,Split066,Split067,Split068,Split069,Split070,Split071,Split072,Split073,Split074,Split075,Split076,Split077,Split078,Split079,Split080,Split081,Split082,Split083,Split084,Split085,Split086,Split087,Split088,Split089,Split090,Split091,Split092,Split093,Split094,Split095,Split096,Split097,Split098,Split099,Split100
BAIR_011,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train,Test,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train,Train,Test,Train,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Test,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
BAIR_012,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Test,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Test
BAIR_013,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train,Train,Test,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Test,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
BAIR_014,Train,Test,Test,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Test,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Test,Train,Test,Train,Train,Train,Train,Train
BAIR_015,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Test,Train,Test,Train,Train,Train,Train,Train,Train,Test,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Test,Train,Train,Train,Train,Train,Train
BAIR_016,Train,Train,Train,Test,Test,Train,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Test,Train,Train,Train,Train
BAIR_017,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Test,Test,Train,Test,Train,Train,Train,Test,Train,Test,Train,Train,Train,Test,Test,Train,Train,Test,Train,Train,Train,Test,Test,Train,Train,Test,Train,Test,Test,Train,Train,Test,Test,Train,Train,Train,Test,Train,Test,Test,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Test,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train
BAIR_018,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Test,Train,Test,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Test,Test,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
BAIR_019,Test,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
BAIR_020,Train,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Test,Test,Train,Test,Test,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train
BAIR_021,Train,Train,Test,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Test,Test,Train,Test,Test,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Test,Test,Test,Test,Train,Train,Train,Train,Test,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train
BAIR_022,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Test,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Test,Train,Train,Train,Train,Train
BAIR_023,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Test,Train,Train,Test,Test,Train,Test,Test,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
BAIR_024,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Test,Test,Test,Train,Train,Train,Train,Train,Train,Train,Test,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
BAIR_025,Test,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Test,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train,Test,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train
BAIR_026,Train,Test,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Test,Test,Test,Train,Train,Train,Train,Train,Test,Test,Test,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Test
BAIR_027,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train,Test,Test,Test,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train
BAIR_028,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train
BAIR_029,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Test,Train,Test,Test,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test
BAIR_030,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Test,Test,Train,Train,Test,Train
BAIR_031,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Test,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
BAIR_032,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Test,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train
BAIR_033,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Test,Test,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train
BAIR_034,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train
BAIR_035,Train,Train,Test,Test,Test,Train,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Test,Train,Test,Train,Test,Train,Test,Train,Train,Train,Test,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
BAIR_036,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
BAIR_037,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Test
BAIR_038,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train
BAIR_039,Train,Train,Test,Test,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Test
BAIR_040,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train
BDD100K_001,Train,Train,Train,Train,Test,Train,Test,Train,Train,Test,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
BDD100K_002,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train,Train,Test,Test,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Test,Test,Train,Test,Test,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
